id,category,question,word_count,duration_s,text
excellent_01,excellent,Tell me about a time you had to influence a decision you didn't control.,230,92.0,"sure. the situation was I was the PM on checkout at a grocery delivery app, which had 2.1 million weekly orders at the time. the problem was cart abandonment had sat at 31 percent for 3 straight quarters, and it had been getting worse for 9 months. before that i had already tried a couple of quick fixes myself, and neither one moved the number, so i knew this needed a real investigation, not another patch. so what i did was pull 14 session recordings and I found mobile users hit a 9-field address form right before payment. i built a proposal and i went to Priya, our design lead, with 3 specific options. i also walked Priya through exactly how each option would land differently for our highest-value customers, since that was the group leadership cared about most. i decided to ship a single-page flow behind a feature flag to 5 percent of users, and i wrote the rollout plan myself with 2 rollback triggers at 15-minute intervals. i checked in with Priya twice a week during the rollout so we could react fast if anything looked off. as a result, abandonment improved to 22 percent within 6 weeks, and we verified it across 2 regions. what i learned is to size the fix to the evidence I actually had, and i have used that rule 3 times since."
excellent_02,excellent,Tell me about a time you had to influence a decision you didn't control.,237,94.8,"sure. the situation was I was the PM on the notifications platform at a fintech app, which had 800 thousand daily actives at the time. the problem was the unsubscribe rate had crept from 1.2 to 1.9 percent that quarter, and it had been getting worse for one full quarter. before that i had already tried a couple of quick fixes myself, and neither one moved the number, so i knew this needed a real investigation, not another patch. so what i did was pull 6 weeks of cohort data and I found users getting more than 5 pushes a week churned off notifications at 3 times the baseline. i built a proposal and i went to Marcus, our growth lead, with 2 specific options. i also walked Marcus through exactly how each option would land differently for our highest-value customers, since that was the group leadership cared about most. i decided to cap frequency at 2 sends per user with a holdout on a third slot, and i wrote the rollout plan myself with a weekly unsubscribe-rate tripwire. i checked in with Marcus twice a week during the rollout so we could react fast if anything looked off. as a result, unsubscribes improved to 1.3 percent within 8 weeks, and we verified it across both platforms. what i learned is that data beats opinions in a room, and i have used that rule 4 times since."
excellent_03,excellent,Tell me about a time you had to influence a decision you didn't control.,234,93.6,"sure. the situation was I was the consultant on the claims workflow at a regional health insurer, which had 40 thousand claims a month at the time. the problem was claim denials were running 19 percent above the industry benchmark, and it had been getting worse for 2 quarters. before that i had already tried a couple of quick fixes myself, and neither one moved the number, so i knew this needed a real investigation, not another patch. so what i did was pull 120 denied claim files and I found 60 percent of denials traced back to 4 missing fields at intake. i built a proposal and i went to Dana, our operations director, with 3 specific options. i also walked Dana through exactly how each option would land differently for our highest-value customers, since that was the group leadership cared about most. i decided to redesign the intake form and add a 4-field validation step, and i wrote the rollout plan myself with a weekly denial-rate dashboard reviewed with the intake team. i checked in with Dana twice a week during the rollout so we could react fast if anything looked off. as a result, denials improved to 11 percent within 10 weeks, and we verified it across 3 regional offices. what i learned is that small structural fixes beat big process rewrites, and i have used that rule 2 times since."
excellent_04,excellent,Tell me about a time you had to influence a decision you didn't control.,234,93.6,"sure. the situation was I was the PM on search at a marketplace app, which had 500 thousand monthly searches at the time. the problem was click-through rate had dropped 12 percent after a ranking change, and it had been getting worse for 2 weeks. before that i had already tried a couple of quick fixes myself, and neither one moved the number, so i knew this needed a real investigation, not another patch. so what i did was pull 200 top queries before and after the change and I found the drop concentrated almost entirely in long-tail queries. i built a proposal and i went to Alex, our search engineer, with 2 specific options. i also walked Alex through exactly how each option would land differently for our highest-value customers, since that was the group leadership cared about most. i decided to roll back ranking for long-tail queries only, keep it for head queries, and i wrote the rollout plan myself with a daily CTR alert split by query length. i checked in with Alex twice a week during the rollout so we could react fast if anything looked off. as a result, click-through rate improved to its prior baseline within 9 days, and we verified it across all query segments. what i learned is to segment a metric before trusting the aggregate number, and i have used that rule 5 times since."
excellent_05,excellent,Tell me about a time you had to influence a decision you didn't control.,236,94.4,"sure. the situation was I was the PM on the onboarding flow at a B2B logistics company, which had 1,200 new accounts a month at the time. the problem was only 40 percent of new accounts finished setup in the first week, and it had been getting worse for 6 months. before that i had already tried a couple of quick fixes myself, and neither one moved the number, so i knew this needed a real investigation, not another patch. so what i did was pull 35 recorded onboarding calls and I found accounts stalled almost every time at the carrier-integration step. i built a proposal and i went to Wen, our engineering manager, with 3 specific options. i also walked Wen through exactly how each option would land differently for our highest-value customers, since that was the group leadership cared about most. i decided to ship a guided setup wizard for the carrier-integration step first, and i wrote the rollout plan myself with a rollback plan if completion dropped for any cohort. i checked in with Wen twice a week during the rollout so we could react fast if anything looked off. as a result, week-one completion improved to 71 percent within 5 weeks, and we verified it across every account tier. what i learned is to fix the single worst step before touching anything else, and i have used that rule 3 times since."
excellent_06,excellent,Tell me about a time you had to influence a decision you didn't control.,234,93.6,"sure. the situation was I was the PM on billing at an enterprise SaaS company, which had 14 thousand paying accounts at the time. the problem was failed payment retries were causing 8 percent involuntary churn a quarter, and it had been getting worse for 3 quarters. before that i had already tried a couple of quick fixes myself, and neither one moved the number, so i knew this needed a real investigation, not another patch. so what i did was pull every failed-charge log for a full quarter and I found 72 percent of failures were expired cards, not insufficient funds. i built a proposal and i went to Sofia, our finance lead, with 2 specific options. i also walked Sofia through exactly how each option would land differently for our highest-value customers, since that was the group leadership cared about most. i decided to add card-expiration email nudges 14 days before the charge date, and i wrote the rollout plan myself with an opt-out for accounts on manual invoicing. i checked in with Sofia twice a week during the rollout so we could react fast if anything looked off. as a result, involuntary churn improved to 3 percent within one quarter, and we verified it across both billing tiers. what i learned is that the boring root cause is usually the real one, and i have used that rule 2 times since."
excellent_07,excellent,Tell me about a time you had to influence a decision you didn't control.,236,94.4,"sure. the situation was I was the consultant on the hiring pipeline at a mid-size logistics firm, which had 300 open roles a year at the time. the problem was time-to-fill had grown to 61 days, well past the 40-day target, and it had been getting worse for 4 months. before that i had already tried a couple of quick fixes myself, and neither one moved the number, so i knew this needed a real investigation, not another patch. so what i did was pull hiring-manager interviews across 12 teams and I found most of the delay sat in a single unscheduled feedback step. i built a proposal and i went to Tom, our head of talent, with 3 specific options. i also walked Tom through exactly how each option would land differently for our highest-value customers, since that was the group leadership cared about most. i decided to add a 48-hour feedback SLA enforced by the applicant tracking system, and i wrote the rollout plan myself with a weekly overdue-feedback report to hiring managers. i checked in with Tom twice a week during the rollout so we could react fast if anything looked off. as a result, time-to-fill improved to 38 days within 2 hiring cycles, and we verified it across all 12 teams. what i learned is that one enforced SLA beats ten polite reminders, and i have used that rule 3 times since."
excellent_08,excellent,Tell me about a time you had to influence a decision you didn't control.,239,95.6,"sure. the situation was I was the PM on the mobile app at a home services marketplace, which had 90 thousand monthly active users at the time. the problem was app store rating had fallen to 3.1 stars after a redesign, and it had been getting worse for 5 weeks. before that i had already tried a couple of quick fixes myself, and neither one moved the number, so i knew this needed a real investigation, not another patch. so what i did was pull 400 one- and two-star reviews and I found 80 percent of complaints named a single missing filter option. i built a proposal and i went to Grace, our mobile lead, with 2 specific options. i also walked Grace through exactly how each option would land differently for our highest-value customers, since that was the group leadership cared about most. i decided to ship the filter back in a patch release ahead of the next milestone, and i wrote the rollout plan myself with a review-sentiment check before and after the patch. i checked in with Grace twice a week during the rollout so we could react fast if anything looked off. as a result, the app rating improved to 4.2 stars within 3 weeks, and we verified it across iOS and Android. what i learned is to read the actual complaints before proposing a fix, and i have used that rule 4 times since."
excellent_09,excellent,Tell me about a time you had to influence a decision you didn't control.,239,95.6,"sure. the situation was I was the PM on fraud review at a consumer banking app, which had 25 thousand flagged transactions a month at the time. the problem was manual review queues were running 3 days behind, delaying legitimate transfers, and it had been getting worse for 6 weeks. before that i had already tried a couple of quick fixes myself, and neither one moved the number, so i knew this needed a real investigation, not another patch. so what i did was pull a sample of 500 queued reviews and I found 65 percent of the backlog was low-risk transactions under a fixed dollar threshold. i built a proposal and i went to Elena, our risk lead, with 2 specific options. i also walked Elena through exactly how each option would land differently for our highest-value customers, since that was the group leadership cared about most. i decided to auto-clear low-risk transactions under that threshold with a daily audit sample, and i wrote the rollout plan myself with a fraud-rate ceiling that would auto-revert the rule. i checked in with Elena twice a week during the rollout so we could react fast if anything looked off. as a result, review backlog improved to same-day within 4 weeks, and we verified it across every region. what i learned is that not every review needs a human in the loop, and i have used that rule 2 times since."
excellent_10,excellent,Tell me about a time you had to influence a decision you didn't control.,236,94.4,"sure. the situation was I was the PM on the support ticket system at an edtech platform, which had 8 thousand tickets a month at the time. the problem was average resolution time had climbed to 30 hours, and it had been getting worse for one semester. before that i had already tried a couple of quick fixes myself, and neither one moved the number, so i knew this needed a real investigation, not another patch. so what i did was pull ticket logs for 3 months and I found a single ticket category, password resets, made up 22 percent of volume. i built a proposal and i went to Ben, our support lead, with 2 specific options. i also walked Ben through exactly how each option would land differently for our highest-value customers, since that was the group leadership cared about most. i decided to build a self-serve reset flow and route the rest to a faster queue, and i wrote the rollout plan myself with a weekly resolution-time review with support leads. i checked in with Ben twice a week during the rollout so we could react fast if anything looked off. as a result, resolution time improved to 11 hours within 6 weeks, and we verified it across every ticket category. what i learned is that removing one category can move the whole average, and i have used that rule 3 times since."
